mutant, status
5344, SURVIVED
5345, SURVIVED
5346, SURVIVED
5347, SURVIVED
5348, SURVIVED
5349, SURVIVED
5350, SURVIVED
5351, FUZZ_KILLED
5352, FUZZ_KILLED
5353, SURVIVED
5354, SURVIVED
5355, SURVIVED
5356, SURVIVED
5357, SURVIVED
5358, SURVIVED
5359, SURVIVED
5360, SURVIVED
5361, SURVIVED
5362, SURVIVED
5363, SURVIVED
5364, SURVIVED
5365, SURVIVED
5366, SURVIVED
5367, SURVIVED
5368, SURVIVED
5369, SURVIVED
5370, SURVIVED
8146, SURVIVED
8147, SURVIVED
8148, SURVIVED
8149, SURVIVED
8150, SURVIVED
8151, SURVIVED
8152, SURVIVED
8153, SURVIVED
8154, SURVIVED
8155, SURVIVED
8156, SURVIVED
8157, SURVIVED
8158, SURVIVED
8159, SURVIVED
8160, SURVIVED
8431, SURVIVED
8432, SURVIVED
8433, SURVIVED
8434, SURVIVED
8435, SURVIVED
8436, SURVIVED
8437, SURVIVED
8438, SURVIVED
8439, SURVIVED
8440, SURVIVED
8441, SURVIVED
8442, SURVIVED
8443, SURVIVED
8444, SURVIVED
8445, SURVIVED
8446, SURVIVED
8447, SURVIVED
8448, SURVIVED
8449, SURVIVED
8450, INIT_DB_FAIL
8451, SURVIVED
8452, SURVIVED
8453, SURVIVED
8454, INIT_DB_FAIL
8455, SURVIVED
8738, SURVIVED
8739, INIT_DB_FAIL
8740, SURVIVED
8741, SURVIVED
8742, SURVIVED
8743, SURVIVED
8744, SURVIVED
8745, SURVIVED
8746, SURVIVED
8747, SURVIVED
8748, SURVIVED
8749, SURVIVED
8750, SURVIVED
8751, SURVIVED
8752, SURVIVED
